,Stock Ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Forward Dividend,Forward Yeild,Ex-Dividend Date,Dividend_yield
217,HOG,36.57,36.94,35.00 x 800,37.18 x 800,36.92 - 37.31,30.17 - 43.69,2404.0,2889500.0,5.791,1.32,13.73,2.7,1.5,4.1,2019-09-16,0.04101722723543889
218,HIG,59.0,59.54,59.74 x 800,61.50 x 800,59.21 - 59.78,40.54 - 61.23,1182.0,1785260.0,21.744,0.59,13.47,4.43,1.2,2.03,2019-08-30,0.020338983050847456
220,HCA,123.64,123.65,123.04 x 800,125.78 x 1000,123.21 - 125.06,110.31 - 147.42,818206.0,818582193.0,42.437,1.31,11.91,10.38,1.6,1.3,2019-08-30,0.012940795858945326
221,HCP,37.39,37.33,37.50 x 1300,37.49 x 800,37.14 - 37.58,25.82 - 37.58,1769.0,1790900.0,18.646,0.13,18.38,2.04,1.48,3.96,2019-08-02,0.039582776143353836
226,HLT,91.15,91.76,92.29 x 2900,92.30 x 800,91.52 - 92.43,63.76 - 101.14,1703.0,1841520.0,26.201,0.91,34.08,2.71,0.6,0.66,2019-08-08,0.006582556226001096
228,HD,237.93,238.26,236.48 x 3200,237.00 x 1200,235.61 - 238.99,158.09 - 238.99,1987.0,1704239.0,259.222,1.14,23.61,10.02,5.44,2.31,2019-09-04,0.0228638675240617
229,HON,165.57,166.97,168.60 x 1300,169.45 x 1000,166.57 - 169.24,123.48 - 178.47,2453.0,2674300.0,119.30799999999999,1.23,19.73,8.56,3.6,2.17,2019-08-15,0.021743069396629826
230,HRL,40.81,40.81,40.60 x 900,40.61 x 2200,40.60 - 40.94,37.00 - 46.26,1438.0,1498728.0,21.674,-0.12,22.45,1.81,0.84,2.06,2019-07-12,0.020583190394511147
231,HST,16.44,16.52,16.78 x 3000,16.79 x 1400,16.49 - 16.81,15.51 - 20.35,4087.0,4223684.0,12.277000000000001,1.1,11.34,1.48,0.8,4.87,2019-06-27,0.048661800486618
232,HPQ,16.85,16.99,17.04 x 2200,17.05 x 800,16.99 - 17.27,15.93 - 25.72,8695.0,8065320.0,25.029,1.24,6.27,2.71,0.64,3.8,2019-09-10,0.03798219584569733
233,HUM,289.26,289.26,287.82 x 800,287.93 x 1100,286.69 - 290.02,225.65 - 355.88,837672.0,837062707.0,39.302,1.08,15.69,18.3,2.2,0.76,2019-09-27,0.007605614326211713
234,HBAN,14.19,14.35,14.35 x 27000,14.36 x 38500,14.27 - 14.42,11.12 - 14.97,5753.0,5198995.0,14.914000000000001,1.49,11.4,1.26,0.6,4.23,2019-09-16,0.042283298097251586
238,ITW,158.31,159.15,159.62 x 1000,159.67 x 900,158.86 - 160.53,117.75 - 161.71,1404.0,1221093.0,52.035,1.28,21.41,7.45,4.28,2.7,2019-09-27,0.027035563135619986
241,IR,117.3,117.96,117.85 x 800,117.88 x 2200,117.45 - 119.72,85.15 - 128.31,1664.0,1190354.0,28.496,1.17,20.44,5.77,2.12,1.81,2019-09-05,0.018073316283034956
242,INTC,51.36,51.52,52.15 x 4000,52.20 x 1400,51.34 - 52.16,42.36 - 59.59,13120.0,13874695.0,230.93599999999998,0.71,12.11,4.3,1.26,2.4,2019-08-06,0.02453271028037383
243,ICE,94.4,94.54,93.52 x 800,93.52 x 1000,93.15 - 94.57,69.69 - 95.56,2206.0,2020995.0,52.37,0.33,26.42,3.53,1.1,1.17,2019-09-13,0.011652542372881356
244,IBM,134.09,132.61,132.42 x 900,132.60 x 1300,130.90 - 133.10,105.94 - 152.95,6217.0,6787490.0,117.449,1.56,13.93,9.52,6.48,4.56,2019-08-08,0.04832575136102618
245,IP,42.26,42.66,42.29 x 1300,42.61 x 1100,42.24 - 43.11,36.45 - 48.24,2446.0,2390140.0,16.609,1.38,10.77,3.93,2.05,4.89,2019-11-14,0.048509228584950305
246,IPG,20.65,20.78,20.75 x 2200,20.76 x 1400,20.57 - 20.85,19.56 - 25.10,2793.0,2425876.0,8.008,0.83,12.54,1.66,0.94,4.55,2019-08-30,0.04552058111380145
247,IFF,117.84,118.44,118.15 x 1000,118.39 x 1000,117.62 - 118.95,104.86 - 152.95,817633.0,817216431.0,12.470999999999998,0.55,35.46,3.34,3.0,2.55,2019-09-20,0.02545824847250509
248,INTU,262.47,264.48,262.04 x 800,262.18 x 800,258.58 - 264.50,182.61 - 295.77,809450.0,809243037.0,68.191,0.89,44.52,5.89,2.12,0.79,2019-10-09,0.008077113574884748
250,IVZ,15.89,16.16,16.16 x 1800,16.50 x 800,16.07 - 16.37,15.15 - 22.45,6018.0,6581981.0,7.712999999999999,1.43,11.16,1.45,1.24,7.8,2019-08-14,0.07803650094398992
252,IRM,33.5,33.46,33.75 x 1000,33.90 x 800,33.45 - 34.05,29.28 - 37.32,2274.0,2362167.0,9.961,0.64,27.62,1.23,2.44,7.3,2019-09-13,0.07283582089552239
256,JNJ,127.7,128.67,127.64 x 800,127.70 x 1800,127.06 - 129.67,121.00 - 148.99,13325.0,13657103.0,337.86699999999996,0.73,20.04,6.39,3.8,2.81,2019-08-26,0.02975724353954581
257,JCI,41.85,42.07,42.39 x 1300,42.60 x 1300,41.92 - 42.86,28.30 - 44.65,7933.0,7629985.0,33.73,1.06,6.61,6.41,1.04,2.49,2019-09-13,0.024850657108721624
258,JPM,120.56,122.05,123.63 x 1200,123.55 x 1200,121.99 - 123.77,91.11 - 123.77,12632.0,12471535.0,388.19,1.19,12.2,10.13,3.6,2.99,2019-10-03,0.029860650298606503
259,JNPR,23.9,24.13,23.50 x 3100,24.23 x 900,24.09 - 24.47,22.42 - 30.80,2900.0,2017962.0,8.386000000000001,0.58,17.25,1.41,0.76,3.23,2019-09-03,0.03179916317991632
261,K,61.94,62.23,62.22 x 900,62.48 x 800,61.95 - 62.88,51.34 - 72.98,1056.0,1276889.0,21.197,0.77,25.07,2.49,2.28,3.68,2019-08-30,0.03680981595092024
262,KEY,17.77,18.0,18.17 x 3200,18.18 x 3200,17.96 - 18.19,13.66 - 18.96,8364.0,8261904.0,18.188,1.54,11.27,1.61,0.74,4.16,2019-08-26,0.04164321890827237
263,KMB,137.22,136.99,138.83 x 800,139.99 x 800,136.68 - 139.55,100.32 - 143.50,2293.0,2675882.0,48.465,0.47,26.85,5.18,4.12,3.0,2019-09-05,0.030024777729193996
264,KIM,20.92,20.95,20.63 x 1100,21.23 x 900,20.88 - 21.24,14.29 - 21.24,4558.0,4873637.0,9.107000000000001,0.65,26.44,0.8,1.12,5.35,2019-10-01,0.05353728489483748
265,KMI,20.02,20.16,20.11 x 38500,20.11 x 29200,20.07 - 20.35,14.62 - 21.50,9284.0,9212025.0,45.525,0.96,22.18,0.91,1.0,5.0,2019-10-30,0.04995004995004995
266,KLAC,159.69,160.31,163.50 x 800,164.50 x 1200,159.87 - 164.29,80.65 - 167.95,1820.0,1565842.0,25.988000000000003,1.56,21.9,7.49,3.0,1.88,2019-08-14,0.0187863986473793
267,KSS,50.6,51.23,51.05 x 800,51.22 x 900,50.85 - 52.07,43.33 - 83.28,2185.0,2953053.0,8.079,1.12,11.31,4.53,2.68,5.3,2019-09-10,0.052964426877470355
269,KR,23.94,24.0,24.11 x 2900,24.13 x 2900,23.99 - 24.33,20.70 - 31.98,4334.0,4432673.0,18.939,0.75,12.01,2.01,0.64,2.67,2019-08-14,0.026733500417710943
270,LB,16.31,16.15,16.61 x 800,16.92 x 2900,16.10 - 17.01,15.82 - 38.00,7434.0,7815178.0,4.1339999999999995,1.05,8.0,2.08,1.2,7.36,2019-08-22,0.07357449417535254
272,LRCX,233.7,236.98,238.50 x 1200,240.00 x 800,235.36 - 239.87,122.64 - 244.98,1283.0,1695321.0,34.186,1.55,17.41,13.7,4.6,1.97,2019-09-30,0.019683354728284124
273,LEG,43.61,43.92,43.95 x 900,44.50 x 800,43.83 - 44.32,33.48 - 46.50,853231.0,853196287.0,5.8629999999999995,1.13,20.47,2.15,1.6,3.67,2019-09-12,0.03668883283650539
274,LEN,61.71,61.88,60.90 x 1200,62.37 x 1100,60.86 - 62.42,37.29 - 62.42,4027.0,4431351.0,19.109,0.97,10.07,6.06,0.16,0.26,2019-07-10,0.002592772646248582
276,LLY,108.64,108.87,107.93 x 800,108.19 x 1000,107.77 - 109.00,104.17 - 132.13,3854.0,3323301.0,104.353,0.25,13.62,7.93,2.58,2.37,2019-08-14,0.023748159057437407
277,LNC,59.53,60.43,60.95 x 800,60.96 x 800,60.35 - 61.17,48.07 - 67.52,1105.0,1441853.0,12.297,1.93,8.58,7.1,1.48,2.49,2019-10-09,0.02486141441290106
279,LMT,372.48,374.01,373.07 x 1000,374.60 x 1100,372.73 - 375.89,241.18 - 399.96,1139.0,1058815.0,104.348,1.18,18.23,20.52,9.6,2.58,2019-08-30,0.02577319587628866
281,LOW,112.84,113.32,112.04 x 1000,112.23 x 1000,111.40 - 113.81,84.75 - 118.23,2773.0,2527668.0,86.587,1.42,35.39,3.16,2.2,1.95,2019-10-22,0.01949663239985821
282,LYB,86.11,87.29,88.08 x 800,88.09 x 800,87.20 - 88.30,68.61 - 96.94,1544.0,1681460.0,29.396,1.53,9.24,9.53,4.2,4.88,2019-09-03,0.04877482290094066
284,MAC,27.4,27.52,28.21 x 1000,28.45 x 800,27.52 - 28.41,27.11 - 53.61,2256.0,2914457.0,3.9619999999999997,0.89,36.89,0.77,3.0,10.95,2019-08-16,0.10948905109489052
285,M,15.12,15.21,15.36 x 3000,15.43 x 3200,15.21 - 15.59,14.11 - 38.35,9307.0,9269175.0,4.567,0.74,4.69,3.29,1.51,9.99,2019-09-12,0.09986772486772487
286,MRO,11.3,11.27,11.50 x 3200,11.52 x 3000,11.23 - 11.55,11.06 - 20.59,6314.0,6031762.0,9.07,2.1,9.8,1.18,0.2,1.77,2019-08-20,0.017699115044247787
287,MPC,65.14,65.45,64.60 x 1800,64.88 x 1300,64.67 - 66.05,43.96 - 74.56,4453.0,4349421.0,43.263999999999996,1.66,14.55,4.45,2.12,3.25,2019-08-20,0.032545287073994476
288,MAR,121.05,122.26,123.03 x 800,123.00 x 800,121.90 - 123.39,100.62 - 144.24,1192.0,1769520.0,40.672,1.26,29.67,4.14,1.78,1.47,2019-08-21,0.014704667492771583
289,MMC,99.05,99.49,99.58 x 900,99.61 x 1000,98.98 - 99.75,74.30 - 103.37,1474.0,1503315.0,50.628,0.66,34.44,2.9,1.82,1.85,2019-07-10,0.01837455830388693
291,MAS,43.85,44.13,44.09 x 1000,44.10 x 800,43.70 - 44.35,27.03 - 45.90,2127.0,2945657.0,12.832,1.45,18.15,2.43,0.54,1.23,2019-07-11,0.012314709236031927
292,MA,270.63,271.93,273.77 x 2900,274.76 x 800,269.50 - 274.36,171.89 - 293.69,2620.0,2484075.0,272.376,0.87,42.32,6.48,1.32,0.49,2019-07-08,0.0048775080368030155
295,MCD,208.5,209.7,209.90 x 800,210.49 x 800,208.44 - 210.76,166.19 - 221.93,3605.0,3133337.0,158.26,0.33,27.56,7.61,5.0,2.42,2019-08-30,0.023980815347721823
296,MCK,152.26,149.79,147.40 x 1000,147.65 x 800,144.40 - 153.30,106.11 - 153.30,3529.0,3674106.0,27.561999999999998,1.23,47.9,3.08,1.64,1.08,2019-08-30,0.010771049520556943
297,MDT,108.12,108.45,105.82 x 1100,106.58 x 1100,106.46 - 108.61,81.66 - 112.05,3163.0,3340773.0,143.049,0.49,32.7,3.26,2.16,2.0,2019-09-26,0.01997780244173141
298,MRK,84.68,84.97,84.08 x 1100,84.80 x 1200,84.08 - 85.06,66.10 - 87.35,4917.0,4162834.0,218.675,0.32,23.7,3.57,2.2,2.6,2019-09-13,0.025980160604629193
299,MET,46.1,46.55,45.11 x 900,47.00 x 3200,46.40 - 46.76,37.76 - 51.16,4293.0,4237659.0,43.772,0.89,7.66,6.07,1.76,3.82,2019-08-05,0.03817787418655098
301,MGM,27.87,28.08,27.50 x 1300,28.17 x 1800,27.70 - 28.19,21.62 - 31.68,3205.0,3516278.0,14.720999999999998,1.22,83.09,0.34,0.52,1.87,2019-09-09,0.018658055256548258
303,MCHP,95.0,96.41,97.80 x 1000,97.81 x 900,95.72 - 97.85,60.70 - 101.35,1391.0,1209273.0,23.180999999999997,1.63,66.11,1.48,1.46,1.53,2019-08-20,0.015368421052631578
308,TAP,56.98,57.18,57.14 x 800,57.16 x 900,56.97 - 57.31,49.92 - 67.62,1338.0,1653264.0,12.376,0.99,13.84,4.13,2.28,4.0,2019-08-29,0.04001404001404001
309,MDLZ,54.48,54.79,53.53 x 1800,53.86 x 900,53.52 - 54.82,38.78 - 56.72,5012.0,5618951.0,77.044,0.78,20.97,2.55,1.14,2.09,2019-09-27,0.02092511013215859
313,MS,43.66,44.08,44.90 x 3000,44.99 x 4000,44.08 - 45.09,36.74 - 48.67,13725.0,13069806.0,73.417,1.3,9.62,4.68,1.4,3.21,2019-07-30,0.0320659642693541
314,MSI,175.05,175.64,175.98 x 900,176.00 x 800,174.24 - 176.27,108.25 - 182.28,797125.0,797058365.0,29.204,0.76,29.8,5.91,2.28,1.3,2019-09-12,0.013024850042844899
318,NAVI,11.77,11.9,11.96 x 1400,11.97 x 1800,11.88 - 12.07,8.23 - 15.67,1111.0,1912065.0,2.728,2.05,6.45,1.85,0.64,5.44,2019-09-05,0.05437553101104503
319,NTAP,53.49,54.14,54.51 x 900,54.61 x 800,53.90 - 55.43,44.55 - 83.95,2611.0,2785051.0,13.049000000000001,1.56,13.95,3.91,1.92,3.59,2019-10-03,0.0358945597307908
324,NWSA,13.47,13.53,13.62 x 900,13.69 x 3000,13.52 - 13.71,10.65 - 14.66,1938.0,1558893.0,7.974,1.11,52.5,0.26,0.2,1.46,2019-09-10,0.014847809948032665
326,NEE,232.48,232.41,232.41 x 800,232.53 x 800,230.65 - 233.04,164.78 - 234.27,1523.0,1991373.0,114.46600000000001,0.12,33.45,6.96,5.0,2.15,2019-08-28,0.021507226428079836
328,NKE,96.1,96.61,96.07 x 1000,96.22 x 1100,95.42 - 96.87,66.53 - 96.87,4216.0,4116687.0,151.053,1.1,35.93,2.68,0.88,0.92,2019-08-30,0.009157127991675338
329,NI,27.98,27.96,27.55 x 2200,29.30 x 1800,27.92 - 28.16,24.37 - 30.67,3174.0,3166834.0,10.484000000000002,0.31,84.23,0.33,0.8,2.86,2019-10-30,0.028591851322373126
331,JWN,34.58,35.2,35.47 x 800,35.72 x 800,35.01 - 35.83,25.01 - 67.75,2100.0,2989076.0,5.459,0.71,11.78,3.03,1.48,4.28,2019-08-29,0.042799305957200696
332,NSC,181.91,182.99,183.05 x 800,186.04 x 1300,182.99 - 186.38,138.65 - 211.46,1823.0,1717407.0,48.563,1.31,18.06,10.31,3.76,2.07,2019-08-02,0.020669561871255016
333,NTRS,94.68,95.81,96.87 x 2200,96.89 x 800,95.80 - 97.14,75.96 - 101.50,906658.0,906019120.0,21.014,1.24,14.65,6.61,2.8,2.96,2019-09-12,0.029573299535276716
336,NRG,40.15,40.29,40.21 x 1000,40.22 x 900,40.06 - 40.45,32.63 - 43.66,1438.0,1491909.0,10.311,0.49,19.23,2.1,0.12,0.3,2019-10-31,0.0029887920298879204
337,NUE,51.68,52.72,51.86 x 800,53.90 x 800,51.70 - 53.07,46.10 - 64.48,1906.0,1038882.0,15.679,1.66,7.29,7.1,1.6,3.1,2019-09-26,0.030959752321981428
340,OXY,40.45,40.57,40.67 x 1400,40.77 x 800,40.28 - 40.85,39.97 - 75.79,6516.0,6106251.0,36.621,1.25,8.06,5.07,3.16,7.81,2019-09-09,0.07812113720642769
341,OMC,75.38,75.55,75.39 x 800,75.40 x 1400,75.17 - 75.80,68.58 - 85.05,1197.0,1661790.0,16.272000000000002,0.39,12.67,5.95,2.6,3.45,2019-09-19,0.0344919076678164
342,OKE,69.2,69.34,69.21 x 900,69.85 x 800,69.08 - 69.67,50.26 - 77.21,1292.0,1033335.0,28.964000000000002,1.14,23.05,3.02,3.56,5.14,2019-08-05,0.051445086705202314
343,ORCL,54.55,55.06,55.11 x 800,55.12 x 4000,54.82 - 55.30,42.40 - 60.50,7861.0,7629821.0,180.965,1.19,18.05,3.06,0.96,1.72,2019-07-16,0.017598533455545372
344,PCAR,72.04,72.54,72.91 x 800,72.87 x 1000,72.49 - 74.45,53.43 - 74.45,3139.0,3750784.0,25.285,1.39,10.75,6.79,1.28,1.83,2019-08-13,0.017767906718489726
347,PDCO,17.45,17.64,17.37 x 4000,17.38 x 900,17.26 - 17.70,15.73 - 26.60,1228.0,1167378.0,1.6569999999999998,1.6,13.83,1.26,1.04,5.96,2019-07-11,0.05959885386819485
348,PAYX,84.25,84.81,84.70 x 1200,84.72 x 900,83.83 - 84.81,61.32 - 88.43,876943.0,876590420.0,30.311,0.88,29.0,2.92,2.48,2.93,2019-07-31,0.02943620178041543
350,PNR,38.55,38.8,34.47 x 1000,38.96 x 800,38.79 - 39.12,34.50 - 45.70,1173.0,1225623.0,6.553999999999999,1.06,18.34,2.13,0.72,1.87,2019-07-18,0.01867704280155642
351,PBCT,16.46,16.65,16.00 x 800,16.62 x 900,16.44 - 16.71,13.66 - 18.03,4434.0,4996090.0,6.912999999999999,1.48,12.72,1.31,0.71,4.31,2019-07-31,0.043134872417982986
352,PEP,136.25,136.34,136.15 x 1200,137.80 x 800,135.66 - 136.73,105.03 - 140.45,1992.0,1099240.0,189.80599999999998,0.47,15.49,8.79,3.82,2.8,2019-09-05,0.02803669724770642
354,PRGO,53.9,54.3,53.93 x 800,53.96 x 1100,53.78 - 54.65,36.28 - 75.42,389306.0,389218212.0,7.335,1.99,84.37,0.64,0.84,1.56,2019-08-29,0.015584415584415584
355,PFE,36.46,36.65,36.43 x 4000,36.65 x 800,36.36 - 36.68,33.97 - 46.47,12174.0,12924426.0,201.662,0.42,16.85,2.16,1.44,3.95,2019-08-01,0.03949533735600658
357,PM,80.55,80.34,81.61 x 800,81.81 x 1100,80.30 - 81.90,64.67 - 92.74,3952.0,3041551.0,128.38299999999998,1.09,16.29,5.02,4.68,5.81,2019-06-20,0.05810055865921788
358,PSX,107.2,108.0,107.92 x 800,108.21 x 800,107.57 - 108.57,78.44 - 108.57,1366.0,1355073.0,48.528,1.14,9.34,11.59,3.6,3.36,2019-08-19,0.033582089552238806
360,PXD,123.36,123.4,125.28 x 1000,125.30 x 800,123.07 - 126.32,114.79 - 178.22,1505.0,1661243.0,20.246,1.42,23.4,5.36,1.76,1.43,2019-09-26,0.014267185473411154
361,PNC,143.52,145.0,145.84 x 800,147.00 x 900,144.71 - 146.39,108.45 - 146.39,1673.0,1035962.0,64.273,1.28,13.04,11.16,4.6,3.21,2019-07-18,0.03205128205128205
362,RL,94.97,96.17,96.59 x 1000,96.62 x 800,95.70 - 96.71,82.69 - 137.34,745236.0,745255768.0,7.441,1.24,17.77,5.43,2.75,2.9,2019-06-27,0.028956512582920924
363,PPG,124.23,125.0,124.44 x 1000,124.45 x 900,124.25 - 125.61,94.41 - 125.61,1621.0,1152770.0,30.188000000000002,0.96,24.59,5.07,2.04,1.64,2019-08-09,0.016421154310553007
364,PPL,32.03,32.08,32.59 x 1800,32.69 x 3000,32.08 - 32.66,27.31 - 32.89,3415.0,3576985.0,23.537,0.55,13.36,2.44,1.65,5.15,2019-09-09,0.05151420543240711
367,PFG,56.0,56.43,56.81 x 800,56.84 x 800,56.43 - 56.92,40.42 - 60.81,617996.0,617105790.0,15.99,1.51,10.68,5.32,2.2,3.93,2019-09-04,0.03928571428571429
368,PG,117.47,117.42,119.93 x 800,120.26 x 900,117.35 - 119.12,85.23 - 125.36,6370.0,6289156.0,300.16,0.35,83.27,1.43,2.98,2.54,2019-10-17,0.025368179109559887
369,PGR,70.2,70.48,69.70 x 900,70.37 x 1100,69.67 - 70.54,56.71 - 84.96,4782.0,4999404.0,40.198,0.63,13.11,5.34,0.4,0.57,2019-10-04,0.005698005698005698
370,PLD,89.61,89.74,90.20 x 800,91.13 x 900,89.51 - 90.63,55.21 - 90.63,1598.0,1035795.0,57.482,0.98,32.39,2.8,2.12,2.37,2019-09-19,0.02365807387568352
371,PRU,89.69,90.77,90.89 x 1100,90.95 x 800,90.56 - 91.23,75.61 - 106.40,1208.0,1276459.0,36.66,1.63,9.23,9.84,4.0,4.46,2019-08-19,0.04459805998439068
372,PEG,62.29,62.43,62.35 x 800,63.00 x 4000,62.12 - 62.51,49.23 - 63.88,1214.0,1135437.0,31.659000000000002,0.36,21.66,2.88,1.88,3.02,2019-09-06,0.030181409536041096
374,PHM,38.3,38.35,38.19 x 900,38.19 x 4000,38.04 - 38.76,20.64 - 38.78,5266.0,5296682.0,10.489,0.48,11.6,3.29,0.44,1.15,2019-09-17,0.011488250652741516
375,PVH,87.39,88.47,89.55 x 800,89.56 x 800,88.47 - 90.33,67.41 - 134.24,863354.0,863382042.0,6.626,1.98,10.04,8.9,0.15,0.17,2019-08-29,0.0017164435290078957
377,QCOM,77.68,78.38,78.71 x 1100,79.00 x 1100,78.01 - 79.09,49.10 - 90.34,5307.0,5260057.0,96.01299999999999,1.53,28.91,2.73,2.48,3.34,2019-09-11,0.03192584963954686
378,PWR,40.22,40.48,40.62 x 800,40.55 x 1000,40.30 - 41.00,27.90 - 41.00,949346.0,949383692.0,5.901,1.56,18.44,2.2,0.16,0.41,2019-09-30,0.003978120338140229
382,RTN,199.75,199.64,202.27 x 900,203.00 x 800,199.28 - 203.21,144.27 - 205.28,1237.0,1684153.0,56.434,0.99,18.63,10.85,3.77,1.89,2019-07-09,0.018873591989987483
383,O,79.47,79.35,79.70 x 800,80.00 x 800,79.18 - 79.97,57.50 - 79.97,898782.0,898493437.0,25.726999999999997,0.12,61.64,1.3,2.72,3.43,2019-10-31,0.03422675223354725
386,RF,15.77,15.95,16.08 x 4000,16.09 x 21500,15.95 - 16.13,12.39 - 17.88,8945.0,8883895.0,16.272000000000002,1.63,9.95,1.62,0.62,3.93,2019-12-05,0.039315155358275206
387,RSG,88.24,88.46,77.21 x 800,87.75 x 1100,87.53 - 88.69,67.48 - 90.62,984265.0,984047376.0,28.826,0.46,27.13,3.23,1.62,1.84,2019-09-30,0.018359020852221217
389,RHI,55.09,55.74,55.85 x 1200,55.86 x 1000,55.46 - 56.37,51.90 - 69.08,907204.0,907109564.0,6.652,1.41,14.72,3.8,1.24,2.25,2019-08-22,0.022508622254492648
393,ROST,114.13,111.49,110.58 x 1300,110.97 x 1100,109.07 - 113.15,75.91 - 114.83,2864.0,2847478.0,40.145,0.81,25.23,4.4,1.02,0.93,2019-09-11,0.008937176903531062
394,RCL,111.18,112.0,112.13 x 800,114.00 x 1000,100.00 - 112.95,89.48 - 131.04,2121.0,2578231.0,23.921999999999997,1.51,12.73,8.81,3.12,2.88,2019-09-19,0.028062601187263895
395,SPGI,250.48,252.07,251.32 x 1200,251.02 x 900,249.25 - 252.07,156.68 - 269.57,858312.0,858297560.0,61.308,0.8,31.94,7.87,2.28,0.91,2019-08-26,0.00910252315554136
399,SLB,32.31,32.22,33.41 x 800,33.73 x 3100,32.22 - 33.80,30.65 - 58.61,11299.0,11807428.0,46.455,1.97,22.54,1.49,2.0,6.47,2019-09-03,0.06190034045187248
401,STX,54.98,55.4,55.26 x 3200,55.45 x 800,54.96 - 55.87,35.38 - 57.20,1719.0,1857171.0,14.655,1.72,7.86,7.06,2.52,4.58,2019-09-24,0.0458348490360131
402,SEE,41.45,41.87,41.69 x 800,41.70 x 800,41.54 - 42.11,30.22 - 47.13,667954.0,667213759.0,6.462000000000001,1.08,17.62,2.37,0.64,1.54,2019-09-05,0.015440289505428226
403,SRE,146.23,146.18,146.43 x 800,146.47 x 1100,145.25 - 146.57,104.88 - 148.14,944560.0,944441714.0,40.569,0.31,21.09,6.94,3.87,2.65,2019-09-19,0.02646515762839363
406,SPG,149.92,150.32,152.87 x 1200,152.72 x 800,150.28 - 153.26,145.28 - 191.49,1390.0,1540878.0,47.532,0.53,20.47,7.48,8.4,5.6,2019-08-15,0.0560298826040555
407,SWKS,87.77,88.21,89.41 x 1000,89.89 x 800,88.20 - 90.01,60.12 - 94.39,1721.0,1868210.0,15.472999999999999,1.27,17.11,5.26,1.76,2.01,2019-08-26,0.020052409707189245
410,SO,61.14,60.98,61.48 x 1000,61.49 x 800,60.96 - 61.62,42.50 - 62.36,2954.0,2706610.0,64.46,0.26,14.51,4.25,2.48,4.06,2019-08-16,0.040562643114164215
411,LUV,53.48,54.31,53.07 x 3000,53.23 x 1000,53.14 - 54.31,44.28 - 58.77,6599.0,6740695.0,28.41,1.75,12.36,4.31,0.72,1.35,2019-08-20,0.013462976813762155
412,SWK,149.89,150.76,150.40 x 800,150.40 x 900,149.67 - 151.86,106.41 - 154.10,727991.0,727016668.0,23.055,1.51,33.97,4.44,2.76,1.84,2019-11-27,0.018413503235706185
413,SBUX,86.03,86.0,85.30 x 2900,85.42 x 900,85.08 - 86.24,57.39 - 99.72,3678.0,3683128.0,102.164,0.5,30.51,2.8,1.44,1.68,2019-08-07,0.016738347088225036
414,STT,63.34,64.54,64.10 x 900,66.00 x 800,64.10 - 65.67,48.62 - 77.00,3042.0,3752457.0,25.851999999999997,1.58,12.9,5.07,2.08,3.28,2019-06-28,0.03283864856330913
416,SYK,215.32,216.25,215.17 x 1400,215.00 x 800,214.53 - 216.25,144.75 - 223.45,655352.0,655029635.0,80.369,1.01,23.01,9.35,2.08,0.97,2019-09-27,0.00966004086940368
417,STI,67.89,68.48,68.78 x 900,68.79 x 800,68.27 - 68.91,46.05 - 69.57,1281.0,1609717.0,30.715999999999998,1.61,12.61,5.46,2.24,3.3,2019-08-29,0.032994550007364856
418,SYMC,23.01,23.13,23.07 x 3100,23.08 x 4000,22.97 - 23.30,17.43 - 26.07,8731.0,8463060.0,14.264000000000001,1.43,138.2,0.17,0.3,1.28,2019-08-23,0.013037809647979138
419,SYF,34.29,34.66,35.00 x 1200,35.01 x 3000,34.56 - 35.12,21.77 - 36.87,5123.0,5386898.0,23.471999999999998,1.41,6.17,5.68,0.88,2.59,2019-08-02,0.025663458734324875
421,SYY,79.14,79.14,79.21 x 800,79.47 x 2200,78.96 - 79.61,59.44 - 79.74,1203.0,1971428.0,40.648,0.6,24.83,3.2,1.56,1.97,2019-10-03,0.019711902956785442
422,TROW,109.41,110.08,110.91 x 800,110.95 x 900,110.04 - 111.01,84.59 - 120.99,814737.0,814074915.0,25.934,1.06,13.96,7.95,3.04,2.78,2019-09-12,0.02778539438808153
423,TPR,25.56,25.85,24.99 x 1800,26.26 x 3100,25.83 - 26.47,18.54 - 43.71,4031.0,4886556.0,7.587999999999999,1.31,11.87,2.21,1.35,5.28,2019-09-05,0.05281690140845071
424,TGT,112.81,113.32,113.51 x 800,113.64 x 1300,112.74 - 113.81,60.15 - 113.81,2646.0,2422481.0,57.867,0.62,18.82,6.04,2.64,2.34,2019-08-20,0.023402180657743108
425,TEL,92.81,93.7,93.68 x 800,93.67 x 800,93.48 - 94.14,69.84 - 97.99,616305.0,616445673.0,31.436,1.24,10.28,9.12,1.84,1.98,2019-08-22,0.019825449843766836
427,TXN,129.46,130.74,130.90 x 800,130.95 x 1100,129.65 - 131.02,87.70 - 132.20,3456.0,3615125.0,121.609,1.21,23.9,5.48,3.6,2.78,2019-07-30,0.02780781708635872
428,TXT,46.01,46.35,46.91 x 1000,47.55 x 800,46.09 - 47.23,42.30 - 58.00,2064.0,2477973.0,10.468,1.92,12.88,3.66,0.08,0.17,2019-09-12,0.001738752445120626
429,BK,45.34,45.53,45.80 x 1100,46.50 x 2200,45.47 - 45.97,40.52 - 54.27,6908.0,6145714.0,43.028,1.04,11.89,3.84,1.24,2.73,2019-10-25,0.027348919276576972
